Steckdosenbezeichnung, Steckdosennr-old, Raum-old, Stromkreisbezeichnung, Sicherung, Raumbez-new, Bezeichnung
1.1,-,R50,HUV.STK13,HUV.F13,Werkstatt,Wand
1.2,-,R50,HUV.STK13,HUV.F13,Werkstatt,Wand
1.3,-,R50,HUV.STK13,HUV.F13,Werkstatt,Wand
1.4,-,R50,HUV.STK13,HUV.F13,Werkstatt,Wand
1.5,-,R50,HUV.STK13,HUV.F13,Werkstatt,Wand
1.6,S01,R50,HUV.STK02,HUV.F26,Werkstatt,Kabelkanal
1.7,S01,R50,HUV.STK02,HUV.F26,Werkstatt,Kabelkanal
1.8,S02,R50,HUV.STK01,HUV.F25,Werkstatt,Kabelkanal
1.9,S02,R50,HUV.STK01,HUV.F25,Werkstatt,Kabelkanal
1.10,S02,R50,HUV.STK01,HUV.F25,Werkstatt,Kabelkanal
1.11,S03,R50,HUV.STK02,HUV.F26,Werkstatt,Kabelkanal
1.12,S03,R50,HUV.STK02,HUV.F26,Werkstatt,Kabelkanal
1.13,S03,R50,HUV.STK02,HUV.F26,Werkstatt,Kabelkanal
1.14,S04,R50,HUV.STK01,HUV.F25,Werkstatt,Kabelkanal
1.15,S04,R50,HUV.STK01,HUV.F25,Werkstatt,Kabelkanal
1.16,S04,R50,HUV.STK01,HUV.F25,Werkstatt,Kabelkanal
1.17,-,R50,HUV.STK29,-,Werkstatt,Wand CEE32A
1.18,-,R50,HUV.STK13,HUV.F13,Werkstatt,Wand unter Stromverteiler
1.19,-,R50,HUV.STK13,HUV.F13,Werkstatt,Wand unter Stromverteiler
2.1,S09,R48,HUV.STK12,HUV.F07,Medialab,Kabelkanal
2.2,S09,R48,HUV.STK12,HUV.F07,Medialab,Kabelkanal
2.3,S09,R48,HUV.STK12,HUV.F07,Medialab,Kabelkanal
2.4,S08,R48,HUV.STK12,HUV.F07,Medialab,Kabelkanal
2.5,S08,R48,HUV.STK12,HUV.F07,Medialab,Kabelkanal
2.6,S08,R48,HUV.STK12,HUV.F07,Medialab,Kabelkanal
2.7,S07,R48,HUV.STK03,HUV.F27,Medialab,Kabelkanal
2.8,S07,R48,HUV.STK03,HUV.F27,Medialab,Kabelkanal
2.9,S06,R48,HUV.STK02,HUV.F26,Medialab,Kabelkanal
2.10,S06,R48,HUV.STK02,HUV.F26,Medialab,Kabelkanal
2.11,S05,R48,HUV.STK12,HUV.F07,Medialab,Kabelkanal
2.12,S05,R48,HUV.STK12,HUV.F07,Medialab,Kabelkanal
2.13,S05,R48,HUV.STK12,HUV.F07,Medialab,Kabelkanal
3.1,S13,R46,HUV.STK12,HUV.F07,Ruhearbeitsraum,Kabelkanal Dauerstrom
3.2,S13,R46,HUV.STK12,HUV.F07,Ruhearbeitsraum,Kabelkanal Dauerstrom
3.3,S12,R46,HUV.STK03,HUV.F27,Ruhearbeitsraum,Kabelkanal
3.4,S12,R46,HUV.STK03,HUV.F27,Ruhearbeitsraum,Kabelkanal
3.5,S11,R46,HUV.STK02,HUV.F26,Ruhearbeitsraum,Kabelkanal
3.6,S11,R46,HUV.STK02,HUV.F26,Ruhearbeitsraum,Kabelkanal
3.7,S10,R46,HUV.STK02,HUV.F26,Ruhearbeitsraum,Kabelkanal
3.8,S10,R46,HUV.STK02,HUV.F26,Ruhearbeitsraum,Kabelkanal
3.9,S10,R46,HUV.STK02,HUV.F26,Ruhearbeitsraum,Kabelkanal
3.10,-,R46,HUV.STK03,HUV.F27,Ruhearbeitsraum,Wand
3.11,-,R46,HUV.STK03,HUV.F27,Ruhearbeitsraum,Wand
3.12,-,R46,HUV.STK03,HUV.F27,Ruhearbeitsraum,Wand
3.13,-,R46,HUV.STK03,HUV.F27,Ruhearbeitsraum,Wand
3.14,-,R46,HUV.STK03,HUV.F27,Ruhearbeitsraum,Wand
3.15,-,R46,HUV.STK03,HUV.F27,Ruhearbeitsraum,Wand
4.1,S16,R44,HUV.STK05,HUV.F29,Getraenkelager,Kabelkanal
4.2,S16,R44,HUV.STK05,HUV.F29,Getraenkelager,Kabelkanal
4.3,S15,R44,HUV.STK04,HUV.F28,Getraenkelager,Kabelkanal
4.4,S15,R44,HUV.STK04,HUV.F28,Getraenkelager,Kabelkanal
4.5,S14,R44,HUV.STK12,HUV.F07,Getraenkelager,Kabelkanal
4.6,S14,R44,HUV.STK12,HUV.F07,Getraenkelager,Kabelkanal
4.7,S14,R44,HUV.STK12,HUV.F07,Getraenkelager,Kabelkanal
5.1,S17,R42,HUV.STK12,HUV.F07,Lounge,Kabelkanal Richtung Ulmerstraße
5.2,S17,R42,HUV.STK12,HUV.F07,Lounge,Kabelkanal Richtung Ulmerstraße
5.3,S17,R42,HUV.STK12,HUV.F07,Lounge,Kabelkanal Richtung Ulmerstraße
5.4,S18,R42,HUV.STK04,HUV.F28,Lounge,Kabelkanal Richtung Ulmerstraße
5.5,S18,R42,HUV.STK04,HUV.F28,Lounge,Kabelkanal Richtung Ulmerstraße
5.6,S19,R42,HUV.STK05,HUV.F29,Lounge,Kabelkanal Richtung Ulmerstraße
